Institute,City,Campus,Degree,Program,Duration,Eligibility Criteria,Test Requirement,Fee (PKR),Fee Type,Apply Deadline (2026),Program URL
National University of Modern Languages,Islamabad,Main Campus,PhD,PhD-International Relations,3–5 Years,"Eligibility: a. MS/MPhil Degree (18 years of education with 6 credit hrs. research) in relevant discipline from HEC recognized University with minimum 3.0 out of 4.0 CGPA under semester system OR 1st Division under annual system. b. Selection in the respective program will be subject to availability of seats, merit based on academic qualification, valid GRE International / NTS / NUML devised GAT- subject score and interview. c. Applicants with valid GRE International/GAT-Subject from NTS will have to pass written/subjective portion of NUML GAT-S (as per schedule of respective Faculties) to sec",NUML PhD Admission Test / Interview,110000,Per Semester,2026-02-03,https://numl.edu.pk/programs/program/207
National University of Modern Languages,Islamabad,Main Campus,PhD,PhD Media & Communication Studies,3–5 Years,"Eligibility: a. MS/MPhil Degree (18 years of education with 6 credit hrs. research) in relevant discipline from HEC recognized University with minimum 3.0 out of 4.0 CGPA under semester system OR 1st Division under annual system. b. Selection in the respective program will be subject to availability of seats, merit based on academic qualification, valid GRE International / NTS / NUML devised GAT- subject score and interview. c. Applicants with valid GRE International/GAT-Subject from NTS will have to pass written/subjective portion of NUML GAT-S (as per schedule of respective Faculties) to sec",NUML PhD Admission Test / Interview,110000,Per Semester,2026-02-03,https://numl.edu.pk/programs/program/435
National University of Modern Languages,Islamabad,Main Campus,PhD,PhD Islamic Studies,3–5 Years,"Eligibility: MS/MPhil Degree (18 years of education with 6 credit hrs research) in relevant discipline from HEC recognized University with minimum 3.0 out of 4.0 CGPA under semester system OR 1st Division under annual system. Selection in the respective program will be subject to availability of seats, merit based on academic qualification, valid GRE International / NTS / NUML devised GAT- subject score and interview. Applicants with valid GRE International/GAT-Subject from NTS will have to pass written/subjective portion of NUML GAT-S (as per schedule of respective Faculties) to secure admiss",NUML PhD Admission Test / Interview,110000,Per Semester,2026-02-03,https://numl.edu.pk/programs/program/205
National University of Modern Languages,Islamabad,Main Campus,PhD,PhD Computer Science (PhD-CS),3–5 Years,"Eligibility: MS/MPhil Degree (18 years of education with 6 credit hrs research) in relevant discipline from HEC recognized University with minimum 3.0 out of 4.0 CGPA under semester system OR 1st Division under annual system. Selection in the respective program will be subject to availability of seats, merit based on academic qualification, valid GRE International / NTS / NUML devised GAT- subject score and interview. Applicants with valid GRE International/GAT-Subject from NTS will have to pass written/subjective portion of NUML GAT-S (as per schedule of respective Faculties) to secure admiss",NUML PhD Admission Test / Interview,110000,Per Semester,2026-02-03,https://numl.edu.pk/programs/program/206
National University of Modern Languages,Islamabad,Main Campus,PhD,Mphil/Phd (Suspended Presently),3–5 Years,"Eligibility: MA in German Language and Literature National University of Modern Languages H-9/4 Islamabad ,Pakistan Phone: +92-51-9265100 Email: info@numl.edu.pk Regional Campuses Lahore Campus Faisalabad Campus Multan Campus Hyderabad Campus Quetta Campus Peshawar Campus Karachi Campus Rawalpindi MirpurAJK Campus 2026 © National University of Modern Languages, Islamabad. Privacy Policy Admission LMS Student Portal Library Journals E-Registration Online QEC Results Datesheets Scholarships Feedback",NUML PhD Admission Test / Interview,110000,Per Semester,2026-02-03,https://numl.edu.pk/programs/program/227
National University of Modern Languages,Islamabad,Main Campus,PhD,PhD Urdu,3 Year,"Eligibility: a. MS/MPhil Degree (18 years of education with 6 credit hrs. research) in relevant discipline from HEC recognized University with minimum 3.0 out of 4.0 CGPA under semester system OR 1st Division under annual system. b. Selection in the respective program will be subject to availability of seats, merit based on academic qualification, valid GRE International / NTS / NUML devised GAT- subject score and interview. c. Applicants with valid GRE International/GAT-Subject from NTS will have to pass written/subjective portion of NUML GAT-S (as per schedule of respective Faculties) to sec",NUML PhD Admission Test / Interview,110000,Per Semester,2026-02-03,https://numl.edu.pk/programs/program/120
National University of Modern Languages,Islamabad,Main Campus,PhD,PhD Persian,3–5 Years,"Eligibility: a. MS/MPhil Degree (18 years of education with 6 credit hrs. research) in relevant discipline from HEC recognized University with minimum 3.0 out of 4.0 CGPA under semester system OR 1st Division under annual system. b. Selection in the respective program will be subject to availability of seats, merit based on academic qualification, valid GRE International / NTS / NUML devised GAT- subject score and interview. c. Applicants with valid GRE International/GAT-Subject from NTS will have to pass written/subjective portion of NUML GAT-S (as per schedule of respective Faculties) to sec",NUML PhD Admission Test / Interview,110000,Per Semester,2026-02-03,https://numl.edu.pk/programs/program/289
National University of Modern Languages,Islamabad,Main Campus,PhD,PhD English (Linguistics & Literature),3–5 Years,"Eligibility: a. MS/MPhil Degree (18 years of education with 6 credit hrs. research) in relevant discipline from HEC recognized University with minimum 3.0 out of 4.0 CGPA under semester system OR 1st Division under annual system. b. Selection in the respective program will be subject to availability of seats, merit based on academic qualification, valid GRE International / NTS / NUML devised GAT- subject score and interview. c. Applicants with valid GRE International/GAT-Subject from NTS will have to pass written/subjective portion of NUML GAT-S (as per schedule of respective Faculties) to sec",NUML PhD Admission Test / Interview,110000,Per Semester,2026-02-03,https://numl.edu.pk/programs/program/245
National University of Modern Languages,Islamabad,Main Campus,PhD,Ph.D Arabic,3 Year,"Eligibility: a. MS/MPhil Degree (18 years of education with 6 credit hrs. research) in relevant discipline from HEC recognized University with minimum 3.0 out of 4.0 CGPA under semester system OR 1st Division under annual system. b. Selection in the respective program will be subject to availability of seats, merit based on academic qualification, valid GRE International / NTS / NUML devised GAT- subject score and interview. c. Applicants with valid GRE International/GAT-Subject from NTS will have to pass written/subjective portion of NUML GAT-S (as per schedule of respective Faculties) to sec",NUML PhD Admission Test / Interview,110000,Per Semester,2026-02-03,https://numl.edu.pk/programs/program/184
National University of Modern Languages,Islamabad,Main Campus,PhD,PhD Mathematics,3–5 Years,"Eligibility: PhD (Mathematics) Degree Programme (Three Years-Six Semesters) The Department of Mathematics, National University of Modern Languages (NUML), Islamabad offers Graduate Programs leading to the degree of PhD in Mathematics. The diversity of graduate courses offered in the department give the student an opportunity to specialize in one of the several fields of Pure Mathematics, Applied Mathematics, Computational Mathematics OBJECTIVES OF THE PROGRAM This program is designed to develop most recent knowledge and up to dated research in Mathematics. We have experts in many major areas o",NUML PhD Admission Test / Interview,110000,Per Semester,2026-02-03,https://numl.edu.pk/programs/program/497
National University of Modern Languages,Islamabad,Main Campus,PhD,"PhD Management Sciences (Finance, HRM, General Management And Marketing)",3–5 Years,"Eligibility: a. MS/MPhil Degree (18 years of education with 6 credit hrs. research) in relevant discipline from HEC recognized University with minimum 3.0 out of 4.0 CGPA under semester system OR 1st Division under annual system. b. Selection in the respective program will be subject to availability of seats, merit based on academic qualification, valid GRE International / NTS / NUML devised GAT- subject score and interview. c. Applicants with valid GRE International/GAT-Subject from NTS will have to pass written/subjective portion of NUML GAT-S (as per schedule of respective Faculties) to sec",NUML PhD Admission Test / Interview,110000,Per Semester,2026-02-03,https://numl.edu.pk/programs/program/90
National University of Modern Languages,Islamabad,Main Campus,PhD,PhD Governance & Public Policy,3–5 Years,"Eligibility: a. MS/MPhil Degree (18 years of education with 6 credit hrs. research) in relevant discipline from HEC recognized University with minimum 3.0 out of 4.0 CGPA under semester system OR 1st Division under annual system. b. Selection in the respective program will be subject to availability of seats, merit based on academic qualification, valid GRE International / NTS / NUML devised GAT- subject score and interview. c. Applicants with valid GRE International/GAT-Subject from NTS will have to pass written/subjective portion of NUML GAT-S (as per schedule of respective Faculties) to sec",NUML PhD Admission Test / Interview,110000,Per Semester,2026-02-03,https://numl.edu.pk/programs/program/353
National University of Modern Languages,Islamabad,Main Campus,PhD,PhD Economics,3–5 Years,"Eligibility: a. MS/MPhil Degree (18 years of education with 6 credit hrs. research) in relevant discipline from HEC recognized University with minimum 3.0 out of 4.0 CGPA under semester system OR 1st Division under annual system. b. Selection in the respective program will be subject to availability of seats, merit based on academic qualification, valid GRE International / NTS / NUML devised GAT- subject score and interview. c. Applicants with valid GRE International/GAT-Subject from NTS will have to pass written/subjective portion of NUML GAT-S (as per schedule of respective Faculties) to sec",NUML PhD Admission Test / Interview,110000,Per Semester,2026-02-03,https://numl.edu.pk/programs/program/74
National University of Modern Languages,Islamabad,Main Campus,PhD,PhD Psychology,3–5 Years,"Eligibility: a. MS/MPhil Degree (18 years of education with 6 credit hrs. research) in relevant discipline from HEC recognized University with minimum 3.0 out of 4.0 CGPA under semester system OR 1st Division under annual system. b. Selection in the respective program will be subject to availability of seats, merit based on academic qualification, valid GRE International / NTS / NUML devised GAT- subject score and interview. c. Applicants with valid GRE International/GAT-Subject from NTS will have to pass written/subjective portion of NUML GAT-S (as per schedule of respective Faculties) to sec",NUML PhD Admission Test / Interview,110000,Per Semester,2026-02-03,https://numl.edu.pk/programs/program/268
National University of Modern Languages,Islamabad,Main Campus,PhD,PhD In Software Engineering,3–5 Years,"Eligibility: a. MS/MPhil Degree (18 years of education with 6 credit hrs. research) in relevant discipline from HEC recognized University with minimum 3.0 out of 4.0 CGPA under semester system OR 1st Division under annual system. b. Selection in the respective program will be subject to availability of seats, merit based on academic qualification, valid GRE International / NTS / NUML devised GAT- subject score and interview. c. Applicants with valid GRE International/GAT-Subject from NTS will have to pass written/subjective portion of NUML GAT-S (as per schedule of respective Faculties) to sec",NUML PhD Admission Test / Interview,110000,Per Semester,2026-02-03,https://numl.edu.pk/programs/program/240
